date,team1,team2,team1_score,team2_score,spreads_json
20061114,Toronto,Golden State,99,110,"{""19"": [""+6.5 -110"", ""-6.5 -110""], ""93"": [""+6 -110"", ""-6 -110""], ""238"": [""+6 -109"", ""-6 -101""]}"
20061114,San Antonio,Houston,92,84,"{""19"": [""+1 -110"", ""-1 -110""], ""238"": [""+1 -110"", ""-1 +100""]}"
20061114,Milwaukee,Atlanta,103,101,"{""19"": [""+1 -110"", ""-1 -110""], ""93"": [""+1.5 -110"", ""-1.5 -110""], ""238"": [""+1.5 -115"", ""-1.5 +105""]}"
20061114,Charlotte,New Orleans,85,94,"{""19"": [""+7 -110"", ""-7 -110""], ""93"": [""+7 -110"", ""-7 -110""], ""238"": [""+7 -110"", ""-7 +100""]}"
20061115,Portland,Cleveland,87,100,"{""19"": [""+12 -110"", ""-12 -110""], ""93"": [""+12 -110"", ""-12 -110""], ""238"": [""+12 -105"", ""-12 -105""]}"
20061115,Washington,New York,82,102,"{""19"": [""-3 -110"", ""+3 -110""], ""93"": [""-3 -110"", ""+3 -110""], ""238"": [""-3 +100"", ""+3 -110""]}"
20061115,Denver,Orlando,99,108,"{""19"": [""+5 -110"", ""-5 -110""], ""93"": [""+5 -110"", ""-5 -110""], ""238"": [""+5 +100"", ""-5 -110""]}"
20061115,Charlotte,San Antonio,83,83,"{""19"": [""+11.5 -110"", ""-11.5 -110""], ""93"": [""+11.5 -110"", ""-11.5 -110""], ""238"": [""+11.5 -104"", ""-11.5 -106""]}"
20061115,New Orleans,Detroit,100,99,"{""19"": [""+8 -110"", ""-8 -110""], ""93"": [""+8 -110"", ""-8 -110""], ""238"": [""+8 -102"", ""-8 -108""]}"
20061115,Indiana,Boston,88,114,"{""19"": [""-1.5 -110"", ""+1.5 -110""], ""93"": [""-1 -110"", ""+1 -110""], ""238"": [""-1.5 -102"", ""+1.5 -108""]}"
20061115,Memphis,Sacramento,111,115,"{""19"": [""+8.5 -110"", ""-8.5 -110""], ""93"": [""+8.5 -110"", ""-8.5 -110""], ""238"": [""+8.5 -103"", ""-8.5 -107""]}"
20061115,Milwaukee,Brooklyn,87,100,"{""19"": [""+5 -110"", ""-5 -110""], ""93"": [""+5 -110"", ""-5 -110""], ""238"": [""+5 +102"", ""-5 -112""]}"
20061116,Chicago,Houston,100,101,"{""19"": [""+4.5 -110"", ""-4.5 -110""], ""93"": [""+5 -110"", ""-5 -110""], ""238"": [""+5 -111"", ""-5 +101""]}"
20061116,Sacramento,Golden State,105,117,"{""19"": [""+5 -110"", ""-5 -110""], ""93"": [""+3.5 -110"", ""-3.5 -110""], ""238"": [""+5 -106"", ""-5 -104""]}"
20061117,Washington,Detroit,91,100,"{""19"": [""+4.5 -110"", ""-4.5 -110""], ""238"": [""+4.5 +100"", ""-4.5 -110""]}"
20061117,Toronto,L.A. Lakers,100,107,"{""19"": [""+7.5 -110"", ""-7.5 -110""], ""238"": [""+7.5 -105"", ""-7.5 -105""]}"
20061117,Chicago,San Antonio,83,100,"{""19"": [""+8 -110"", ""-8 -110""], ""238"": [""+8 -110"", ""-8 +100""]}"
